acrhi	阿尔奇语
adyghe	阿迪格语
albanian	阿尔巴尼亚语
armenian	亚美尼亚语
armenian_translit	亚美尼亚语（音译）
bashkir	巴什基尔语
belarusian	白俄语
beserman	Beserman
bulgarian	保加利亚语
buryat	布里亚特语
chinese	汉语
chuvash	楚瓦什语
comments	注解
dargwa	达尔金语
english	英语
erzya	厄尔茨亚语
estonian	爱沙尼亚语
finnish	芬兰语
french	法语
german	德语
greek	希腊语
hill_mari	山地马里语
italian	意大利语
kalmyk	卡尔梅克语
kamas	卡马斯语
komi	科米语
komi-zyrian	科米-济良斯克语
komi_permyak	科米-贝尔米语
komi_zyrian	科米-济良斯克语
latvian	拉脱维亚语
lithuanian	立陶宛语
meadow_mari	草原马里语
moksha	莫克沙语 
negative	消极
nganasan	亚恩加纳桑语
ossetic	奥塞梯语
ossetic_digor	迪戈尔方言
ossetic_iron	伊龙方言
polish	波兰语
positive	积极
romani	吉普赛语
russian	俄语
selkup	塞尔库普语
spanish	西班牙语
swedish	瑞典语
tatar	鞑靼语
tsakhur	查库尔语
tsakonian	tsakonian
udmurt	乌德穆尔特语
ukrainian	乌克兰语
undefined	未定义
