account_type	tipi i llogarisë
account_type_post	lloji i llogarisë (postim)
age	mosha
annotators	anotuesit
author	autori
birth_place	vendlindja
birth_year	datëlindja
birthplace	vendlindja
birthyear	datëlindja
byear	datëlindja
byear_post	datëlindja (postim)
century	shekulli
chronotop	vendi dhe koha e veprimit
citation	citimi
city	qyteti
city_post	vendi (postim)
collector	mbledhësi
country	vendi
date_trans	data e përkthimit
dialect	dialekti
gender	gjinia
genre	zhanri
genre_fi	zhanri i letërsisë
home_town	qyteti i lindjes
home_town_post	vendlindja (postim)
hometown	qyteti i lindjes
issue	vëllimi
lang	gjuha e origjinalit
lang_trans	gjuha e përkthimit
language	gjuha
length	gjatësia
line	rreshti
live_place	vendbanimi
liveplace	vendbanimi
medium	tipi i mbajtësit
occupation	profesioni
origin	vendlindja
orth	ortografia
page	faqja
place	vendi
post_type	tipi i postimit
profession	profesioni
publication	botimi
published	botuar
region	rajoni
sent_analyses	analiza e fjalisë
sex	seksi
sex_post	seksi (postim)
speaker	folësi
speaker_type	lloji i folësit
speakers	folësit
sphere	sfera e funksionimit
style	stili
subdialect	e folmja
subject	subjekti
tagging	anotimi
title	titulli
title_en	titulli (anglisht)
title_ru	titulli (rusisht)
topic	tema
translator	përkthyesi
type	tipi
year	viti
year_birth	viti i lindjes
year_from	viti: nga
year_post	viti (postim)
year_publ	viti i botimit
year_to	viti: deri në
