normal	normale
strict	e përpiktë
simplified	e thjeshtuar
all	të gjitha
undefined	e papërcaktuar
comments	komentet
positive	pozitive
negative	negative
notes	shënimet
note	shënimi
ref	ref
id	ID

abaza	Abaza
acrhi	Archi
adyghe	adigisht
albanian	shqip
armenian	armenisht
armenian_translit	armenisht (translit.)
bashkir	bashkirisht
belarusian	bjellorusisht
beserman	besermanisht
bulgarian	bullgarisht
buryat	burjatisht
chinese	kinezisht
chuvash	çuvashisht
dargwa	Dargwa
english	anglisht
english_note	anglisht (note)
erzya	erzjaisht
estonian	estonisht
finnish	finlandisht
french	frëngjisht
hungarian	hungarisht
german	gjermanisht
greek	greqisht
hill_mari	Hill Mari
italian	italisht
kalmyk	kalmikisht
kamas	kamasisht
kazakh	kazakisht
komi	komisht
komi-zyrian	komi-zirjanisht
komi_permyak	komi-permjakisht
komi_zyrian	komi-zirjanisht
latvian	letonisht
lithuanian	lituanisht
meadow_mari	Meadow Mari
moksha	mokshaisht
nganasan	nganasanisht
ossetic	osetisht
ossetic_digor	Digor Ossetic
ossetic_iron	Iron Ossetic
polish	polonisht
romani	Romani
russian	rusisht
selkup	selkupisht
spanish	spanisht
swedish	suedisht
tatar	tatarisht
tsakhur	cahurisht
tsakonian	cakonisht
udmurt	udmurtisht
ukrainian	ukrainisht
yakut	jakutisht
yiddish	jidisht
